PowerConsumption_Zone1,PowerConsumption_Zone2,PowerConsumption_Zone3,PowerConsumption_Zone1_lower,PowerConsumption_Zone2_lower,PowerConsumption_Zone3_lower,PowerConsumption_Zone1_upper,PowerConsumption_Zone2_upper,PowerConsumption_Zone3_upper
32821.71,20852.838,11762.0625,20312.559,19170.129,9988.801,43744.55,22928.482,13927.868
33545.98,20459.645,12339.611,21684.209,18857.488,10515.524,44939.926,22649.22,14633.887
32367.676,20315.068,12247.308,18526.072,18618.172,10094.28,44630.426,22263.143,14276.337
33358.812,20569.275,12570.145,22582.043,19085.09,11026.061,44000.53,22347.62,14450.563
32592.436,20720.4,12589.23,21416.107,19157.76,10750.355,44361.36,22587.664,14465.574
32662.383,20881.75,12673.737,20848.023,19400.158,10930.871,45008.777,22785.043,14551.551
32434.777,20875.787,12716.803,20713.818,19267.547,11081.944,43531.125,22666.162,14482.8125
32481.55,20955.416,12855.974,19954.49,19299.496,11122.808,45343.65,22951.14,14871.188
32952.71,21130.275,13106.402,22662.506,19993.592,11820.46,45495.855,22883.164,14715.548
32157.81,20955.275,12986.115,21946.645,19439.629,11449.628,43919.14,22632.049,14638.432
32921.12,20834.258,13135.066,20149.033,19429.29,11753.652,42024.94,22099.09,14591.606
33131.176,21141.488,13228.268,21707.738,19517.457,11608.008,45304.074,23008.316,14788.887
32967.277,21233.71,13428.199,19447.645,19638.52,11664.752,46206.16,23092.861,15267.395
32784.625,21277.893,13562.81,21190.451,19432.611,12062.252,44715.41,22667.89,14803.589
33043.07,21498.697,13738.09,23315.486,20251.787,12687.61,44814.664,23064.89,15141.139
31909.428,21440.355,13669.242,20400.543,19956.715,12448.211,44631.49,22914.082,15110.232
33907.05,21906.637,13843.253,22466.438,20773.03,12678.422,46466.926,23447.09,15073.384
32665.793,21483.447,13767.616,20338.32,20052.648,12619.562,43394.688,22702.26,14859.412
32867.844,21473.08,13915.621,20228.896,20145.25,12614.566,43747.05,22838.104,14884.0625
32517.652,21769.32,12881.091,21158.537,20309.93,11635.464,43191.42,23013.719,13972.103
33666.03,23154.904,12493.992,20877.72,21677.773,11296.814,45111.883,24436.303,13590.95
33035.58,23359.186,12287.674,21509.135,22245.393,10774.304,46913.055,24575.67,13669.406
32152.762,23295.436,12107.605,20391.95,22101.068,10804.741,44575.086,24553.799,13433.633
31995.398,23358.857,12097.409,19699.094,22016.002,10843.043,44539.883,24614.79,13442.124
32306.125,23459.07,12103.401,21246.186,22231.297,10888.013,44298.246,24789.879,13342.493
32891.832,23506.8,12311.449,22450.85,22279.877,11101.558,44268.562,24710.941,13551.304
31648.893,23291.207,12227.445,20570.156,22155.297,11179.609,42698.957,24423.578,13296.331
33073.94,23529.42,12379.321,22864.27,22313.775,11442.439,45584.477,24927.742,13654.206
31949.688,23390.428,12372.04,21252.84,22234.164,11243.226,45399.91,24954.984,13694.58
32336.658,23528.848,12383.057,18989.123,22227.078,10800.688,45374.527,25206.62,14057.607
32677.494,23670.137,12484.116,19573.96,22272.084,11105.406,43457.508,25359.025,14040.546
32652.037,23634.96,12412.264,21013.156,22292.168,11180.93,45210.555,25359.23,13898.035
32577.215,23456.762,12332.299,20614.104,22369.123,11112.555,43391.59,25104.256,13739.708
33505.55,23148.766,12301.134,22311.746,21920.285,11223.916,46354.426,25157.09,14258.022
32317.148,22758.973,12222.903,21814.355,21428.537,10986.901,44887.242,24713.123,14177.512
31905.002,22727.69,12213.796,17953.83,21317.215,10410.649,46320.996,25065.791,14525.1875
33179.598,23068.336,12357.83,19729.295,21683.393,10629.159,45459.996,25219.838,14674.269
32767.016,23072.172,12172.911,21049.963,21917.236,10677.999,45093.027,25304.562,14519.771
32461.793,23046.984,12202.506,20791.215,21725.438,10563.756,43405.37,25359.613,14693.658
32154.154,23134.502,12129.236,19123.125,21571.795,10344.924,44387.805,25403.088,14610.559
32192.277,23246.908,12233.59,19922.92,21909.89,10317.634,44798.97,25646.111,14936.718
33113.473,23106.605,12194.262,21155.396,21523.598,10401.74,44819.438,25669.023,14919.815
33095.28,23130.502,12079.85,20011.215,21340.654,9959.915,45897.758,25850.908,14732.373
33193.543,22916.01,11876.91,21960.975,21447.32,9934.71,45228.492,25504.412,14531.642
32097.088,22654.262,11669.795,21371.166,21236.291,9966.443,42827.77,24826.568,13970.703
32518.81,22810.984,11847.956,21931.45,21387.166,10236.86,47084.23,25433.918,14735.166
32934.21,23084.25,12083.027,20486.148,21268.193,10177.342,45730.082,25768.5,14688.121
32393.08,22835.145,11932.251,22677.746,21415.83,10284.424,44733.88,25397.959,14994.168
31179.783,22670.598,11885.153,20936.277,21294.844,10065.366,43182.438,25140.71,14495.678
32836.824,22811.062,12627.553,23307.521,21326.01,10903.138,44525.457,25317.543,15465.785
32316.283,23254.312,13256.151,20930.672,21626.938,11355.268,44182.04,26023.861,16017.062
32604.547,24323.475,14721.635,20908.275,22731.709,12849.675,44964.863,27224.535,17192.191
32246.137,25577.965,16340.567,19387.924,23813.639,14280.691,44706.312,28115.3,18192.965
33708.492,27223.61,17185.756,24001.363,26021.604,15809.448,43704.06,29354.904,18618.31
32694.57,27928.984,17307.756,21187.379,26745.697,16109.367,44954.746,29577.766,18754.484
32553.744,28259.79,17455.807,21743.74,27167.564,16217.365,45242.46,29955.62,18847.158
32297.557,28347.105,17594.443,21154.062,27264.684,16344.834,44354.547,29724.633,18773.371
33639.44,28325.09,17789.643,20574.291,27098.662,16266.133,46920.152,29870.262,19046.854
33922.434,28352.127,17869.547,22980.598,27166.463,16489.676,45528.33,29832.848,19220.793
33046.99,28243.688,17660.555,21441.184,26979.637,16260.302,45169.21,29512.658,19169.465
31983.23,28050.717,17695.516,21108.582,26864.71,16339.974,43025.93,29160.836,18928.85
32024.777,28297.89,17816.22,21555.172,27196.516,16430.3,43894.37,29455.484,19097.88
32459.727,28325.97,17985.783,19819.932,27113.555,16475.652,44071.902,29558.113,19308.615
31743.855,28360.244,17934.873,21388.787,27472.46,16606.777,43477.656,29452.158,19154.914
32937.344,28407.418,17955.898,22156.113,27415.477,16703.66,45954.17,29658.305,19204.283
33105.484,28166.193,17847.383,21849.12,27128.135,16717.596,44903.492,29337.803,18998.793
32571.758,27986.97,17707.053,20637.553,26891.406,16375.171,44073.547,29270.36,18900.355
32856.684,27935.605,17616.65,21935.89,26891.066,16369.329,44420.203,29362.096,18914.182
32607.303,27717.088,17335.787,20624.105,26689.26,15925.118,42795.812,28781.32,18385.688
32551.043,27583.598,17251.361,22108.453,26662.357,16049.167,43838.316,28912.338,18422.72
32615.408,27206.197,17049.895,22213.11,26053.201,15814.93,45602.24,28787.639,18337.42
32647.193,26832.535,16718.238,21700.822,25927.666,15375.03,43975.01,28234.438,18077.348
31894.22,26320.676,16436.13,19369.951,25178.256,14966.764,44050.676,27667.45,17749.607
33329.406,26083.18,16537.32,22024.186,24998.64,15216.406,46048.332,27913.236,17889.816
33083.79,25780.592,16358.625,20634.266,24642.885,14944.516,45657.723,27392.086,17631.309
32881.05,25262.84,16165.889,21527.736,24177.162,14942.144,45303.76,26801.727,17454.102
33089.332,24954.89,15992.584,19437.41,23785.773,14228.394,43011.59,26095.398,17025.695
32432.375,24677.44,15813.469,21734.625,23722.05,14684.3125,44436.0,26189.293,17053.695
32536.977,24283.062,15672.339,19760.871,23143.695,14343.295,43884.56,25797.064,16996.855
32408.006,23813.586,15573.76,21453.156,22636.943,14228.408,44368.43,25540.254,17135.01
32677.516,23301.283,15262.473,21515.729,22106.281,13881.307,44085.258,24853.77,16904.693
32516.758,22799.836,15255.88,22431.305,21607.807,13919.61,44251.58,24928.96,17184.113
33498.254,22609.734,15447.889,22858.068,21300.848,13894.0625,43682.066,24528.527,17450.219
33188.645,22280.125,15420.574,20324.803,20613.34,13582.651,46337.504,24906.273,18309.373
32266.557,21728.56,15221.111,19546.762,20148.488,13448.699,44340.0,24060.059,17886.668
32372.55,21288.145,14778.347,20869.756,19878.84,13305.718,43811.098,23675.207,17373.363
32625.186,21194.62,14306.79,20695.71,19718.486,12527.156,44874.367,23671.957,17107.67
32748.176,20991.467,14198.687,20388.14,19652.195,12487.022,43870.02,23200.195,16894.86
33187.656,20746.62,14225.946,20439.637,19007.928,12134.092,45060.34,23187.613,17013.562
31782.512,20073.332,13719.943,20265.117,18402.57,11712.394,44268.4,22810.986,16952.871
32548.164,20087.977,13725.937,19628.285,18515.066,11725.936,44882.89,22743.361,16972.355
32972.816,19755.988,13579.076,22386.145,18066.514,11467.983,44081.09,22208.68,16296.911
32373.068,19303.967,13314.378,20477.896,17555.652,11057.313,43348.195,21932.027,16346.251
33095.098,19202.895,13400.98,22441.043,17396.023,11264.797,43556.04,21764.027,16258.217
33263.426,18987.06,13450.808,22354.506,17003.512,11225.125,44196.76,21490.791,16280.818
33795.875,19024.992,13618.08,21814.314,16867.787,11041.197,44981.152,21412.85,16313.984
33150.438,18699.318,13386.691,21788.354,16707.748,11051.029,45088.855,21515.23,16329.233
33509.31,18696.04,13441.896,23104.246,16753.719,11092.006,43420.35,21022.576,15933.889
32678.123,18472.21,13026.995,20265.848,16255.521,10630.116,44675.008,21583.373,15939.672
33565.562,18582.123,13133.725,20842.14,16255.196,10451.991,46648.27,21779.016,15915.651
32086.758,18203.426,12847.613,19748.77,15939.731,10364.355,46432.03,21743.682,16068.934
32627.5,18305.084,12933.251,21868.89,16103.055,10649.649,44602.023,21262.02,15778.553
32984.445,18351.455,12867.451,20821.48,15962.46,10159.466,44101.883,20977.643,15556.514
32404.455,18300.03,12649.057,20637.578,16299.963,10178.126,43237.465,21114.416,15523.556
32516.213,18320.828,12593.724,20597.076,15999.546,10033.238,43246.785,21101.03,15366.939
32729.676,18311.496,12626.615,21340.902,16018.567,10161.508,45015.535,21444.459,15422.055
33429.715,18424.756,12717.615,23016.188,16191.772,10388.866,44083.8,20959.068,15206.711
33131.64,18304.799,12586.977,22129.525,16057.592,10172.057,43664.945,20796.277,15123.97
32762.574,18081.162,12778.78,21529.592,15858.543,10482.836,44841.797,21050.213,15346.452
32356.893,17991.902,12659.926,19850.8,15379.356,10042.792,44267.85,20656.59,15170.644
32390.193,18011.22,12604.593,18779.828,15338.495,9765.783,42949.96,20602.621,15121.334
32658.043,18120.36,12560.514,21741.139,15875.131,10316.111,44746.746,20891.012,15111.523
32923.65,18157.93,12654.237,21034.77,15807.902,10077.417,45198.023,21148.066,15374.027
32870.11,18268.2,12716.098,19622.629,15438.032,9975.205,45299.055,21131.844,15335.07
32445.436,18207.473,12622.105,22967.473,16215.873,10622.611,42523.227,20575.986,15058.382
32693.623,18208.988,12565.238,21073.871,15745.625,10194.38,45256.598,21202.873,15370.821
33749.375,18522.459,12739.424,18972.219,15935.628,9778.761,46733.92,21479.309,15305.68
32477.664,18217.234,12520.063,21582.824,15953.806,10329.019,43680.69,20901.766,15140.037
32598.537,18110.889,12297.702,21002.604,15906.533,10024.771,43519.72,20496.373,14759.715
31667.83,18108.617,12068.68,20057.0,15874.954,9367.037,42493.582,20643.938,14604.902
32504.375,18684.932,12179.193,21295.963,16691.414,9792.1455,43580.89,21081.816,14578.731
32287.973,18802.75,11896.731,22127.93,17036.1,9885.051,42108.676,20973.314,14350.007
32430.463,18891.537,11643.331,20878.47,16700.234,9291.268,43622.54,21402.623,14245.773
32118.908,18867.242,11322.706,19803.766,16669.105,9140.083,43359.547,21354.725,13999.532
32458.605,19101.016,11158.394,21129.97,17035.309,9081.807,42794.836,21371.559,13673.745
32882.63,19233.896,11014.544,23004.77,17507.385,9145.459,44280.43,21662.674,13691.026
33821.977,19573.926,10881.072,20581.36,17476.406,8418.84,46371.42,22121.424,13405.131
32301.223,19302.596,9942.8,20384.492,17118.115,7579.426,44606.87,21752.387,12739.666
32245.523,19080.824,9380.053,21152.6,17157.809,7512.6006,43964.707,21382.361,11880.519
33378.074,18986.352,9312.633,21082.965,16898.48,7272.5674,45469.594,21303.295,11751.492
32504.74,18629.117,8958.912,19668.201,16521.143,6618.462,43728.965,21037.152,11380.137
33334.695,18921.889,9034.084,21922.748,16750.758,7107.81,45199.285,21498.547,11661.173
31475.33,19040.297,8685.472,18657.523,16951.133,6649.3086,42751.89,21378.775,11161.396
32327.87,19518.477,8990.799,20588.29,17817.684,6977.5703,45074.137,22247.336,11684.711
32529.502,19754.568,9192.856,18989.006,17714.732,6826.003,44566.863,22400.87,11831.827
32436.615,19942.812,9128.569,19647.543,17850.217,6935.565,44685.676,22596.578,11901.094
31842.512,19872.22,9067.379,19751.553,17837.875,7229.7573,43905.75,22242.53,11536.17
32964.51,20257.389,9222.227,21855.857,18510.496,7414.8203,45883.688,23117.834,11856.269
32588.186,20494.57,9245.36,21440.824,18431.04,7516.86,45119.688,23170.45,11838.17
33329.418,20992.686,9503.021,21737.184,19404.746,7653.331,43787.83,23190.959,11600.668
32554.465,21015.113,9406.083,20156.05,19452.084,7373.6616,46186.023,23800.568,12118.863
32921.023,21291.83,9437.185,21920.46,19520.887,7623.6978,44402.3,23480.268,11561.196
32547.613,21426.664,9450.9795,21780.25,19866.488,7892.573,45818.246,23791.537,11628.171
31917.928,21587.412,9470.037,20233.717,20185.016,7972.9263,42833.824,23377.236,11118.757
32542.322,21783.03,9618.746,22397.703,20315.455,8169.728,44003.92,23584.434,11380.029
32997.766,22113.33,9871.02,19501.166,20616.574,8221.862,45818.957,24200.89,11586.649
32558.703,22311.852,9886.906,22400.322,20895.65,8550.837,46058.31,24125.574,11773.113
33441.76,22442.678,10147.502,22473.947,21139.479,8624.471,43419.156,23838.186,11340.646
32619.88,22468.352,9890.435,19723.816,20875.723,8302.928,45298.96,24148.66,11317.942
33095.9,22920.463,9976.086,22858.098,21751.63,8809.737,43876.625,24438.611,11138.582
32817.855,23092.664,9999.582,21239.79,21541.07,8766.872,44081.465,24487.848,11138.45
32007.006,23126.29,10134.619,19376.518,21541.68,8719.882,44331.04,24783.314,11388.593
33295.316,23369.717,10602.25,20341.543,21700.621,9290.489,47147.145,25143.459,11973.766
34025.473,23484.873,10666.699,22586.406,22262.629,9594.224,45477.42,24879.6,11790.759
32772.855,23393.78,10541.051,21912.729,22161.121,9468.342,44763.46,24751.654,11527.465
32846.184,23532.777,10543.768,19513.889,22148.172,9081.907,47078.86,24997.26,11925.459
33458.96,23554.654,10849.855,22362.152,22403.047,9902.257,44016.133,24797.375,11818.929
31772.14,23457.4,10866.159,19658.295,22176.594,9814.847,41513.484,24488.195,11727.213
32034.188,23662.783,10936.747,19916.713,22229.7,9689.774,42966.23,24956.139,11995.412
32484.422,23800.664,11141.39,21064.504,22575.346,10016.021,44033.777,25068.85,12105.856
32866.914,23996.055,11315.26,23126.818,22721.39,10326.006,45289.863,25280.908,12188.433
32452.805,24083.404,11301.447,21066.422,22962.875,10274.481,44597.902,25285.738,12154.238
32734.31,24004.57,11300.113,20139.514,22819.014,10213.686,46152.88,25325.53,12360.513
32450.227,23737.9,11315.304,20557.41,22629.102,10027.717,44475.246,24956.822,12189.205
32330.082,23399.98,11341.034,22005.416,22224.248,10321.867,44073.145,24734.62,12244.415
33080.36,23311.658,11417.218,21585.932,22042.85,10351.845,44985.047,24673.54,12461.395
32078.572,22948.395,11186.305,20679.93,21690.367,9992.042,43670.1,24263.365,12343.882
32938.734,23038.902,11305.481,20045.719,21746.236,10030.102,43997.29,24421.756,12549.247
32781.414,23060.45,11431.401,20575.375,21906.084,10305.788,43253.66,24419.45,12623.735
33513.426,23089.537,11563.33,21590.99,21763.24,10484.07,46139.805,24809.691,13083.385
33139.93,23078.56,11199.807,20301.393,21983.201,9992.176,44168.9,24452.594,12359.466
33060.47,23009.223,11165.017,20877.46,21941.15,9975.005,43969.086,24306.736,12284.262
32707.115,22962.492,11140.51,21310.0,21790.025,10010.572,44690.758,24340.041,12604.901
33266.83,22861.328,11387.517,22249.266,21629.043,10368.055,45639.133,24477.67,12910.009
32309.35,22891.793,11338.249,20972.049,21815.967,10276.609,43276.77,24212.164,12722.409
32602.744,22948.383,11345.111,21889.334,21848.691,10260.827,44462.508,24500.072,12894.645
32575.787,22979.225,11340.753,20901.943,21530.824,10033.281,44111.844,24847.35,13124.653
32717.617,22810.467,11359.994,22583.633,21525.344,10142.294,44171.164,24677.848,13347.68
32934.773,22874.805,11414.218,22216.186,21614.955,10097.407,45597.453,24976.184,13399.064
32716.756,22702.275,11367.423,20844.857,21227.738,9913.777,43088.5,24566.77,13109.166
32748.297,22549.002,11360.945,21100.84,21149.201,9824.245,43332.562,24578.307,13492.675
32026.73,22732.523,11375.082,19864.762,21237.05,9868.955,43574.902,24843.281,13568.918
31939.998,22574.562,11311.146,20723.662,21144.938,9848.668,44182.53,25075.096,13717.022
32609.658,22583.072,11389.943,21551.0,20900.955,9898.365,44253.508,25004.172,13727.138
32966.754,22561.947,11483.956,19844.81,20804.81,9807.753,43725.91,24684.67,13482.299
33017.38,22420.564,11596.336,20903.727,20664.998,9796.751,46100.35,25603.352,14152.246
32296.002,21965.443,11288.615,20715.252,20304.86,9482.416,43808.22,24553.572,13863.575
33028.324,22197.596,11543.051,21059.111,20625.29,9737.209,43798.312,24547.057,13842.534
32629.86,22227.02,11434.852,21657.379,20922.412,9824.028,44805.29,24937.668,13926.949
32916.848,22200.553,11696.459,22390.213,20830.604,10103.534,42750.24,24489.64,13934.126
32740.297,22218.422,11542.29,21867.934,20613.227,9679.958,44369.094,24718.266,14116.943
32713.557,22194.713,11404.815,19555.57,20066.555,9119.121,44158.61,24644.67,13873.498
32686.205,22184.795,11461.834,22253.633,20474.19,9597.931,43345.742,24700.953,13712.639
32438.723,22402.262,11869.903,20645.752,20502.018,9981.156,44412.945,25119.305,14138.409
33056.46,22815.227,12669.6,22353.928,21039.27,10851.879,44984.188,25583.697,15072.923
32117.572,23481.822,13606.535,20632.012,21695.613,11609.861,44087.266,26206.172,15753.678
33209.83,24938.285,15356.526,21634.104,23089.398,13530.243,44440.242,27525.422,17084.873
32345.475,25938.762,15954.43,20611.371,24258.424,14486.594,43178.785,28397.541,17564.246
33433.008,26827.545,16609.246,21699.945,25411.643,15432.106,45722.695,29057.82,17943.857
32325.557,26870.232,16798.475,21744.184,25531.686,15534.285,42673.8,28379.227,18003.342
33003.35,27256.332,17121.797,21358.963,25918.047,15872.878,43200.754,28607.48,18259.281
32473.31,27219.197,17158.188,20783.756,25974.22,15841.922,44482.473,28862.646,18558.852
33317.57,27110.582,17218.926,21632.678,25820.26,15974.816,46476.13,28749.666,18624.219
32168.342,26873.352,16979.766,19424.223,25700.686,15755.042,42914.65,28213.162,18104.227
33082.17,27151.855,17271.78,21067.67,25820.86,15838.3,45544.957,28802.15,18667.217
33100.992,27198.31,17205.896,22337.787,26059.88,15744.238,43113.59,28394.79,18371.69
33232.516,27299.19,17339.639,20430.76,26255.945,15791.279,43943.387,28688.912,18500.287
32269.59,27105.62,17250.307,20445.994,25997.46,15758.213,42910.87,28194.03,18340.553
33255.594,27109.72,17269.62,20711.092,25962.13,15799.357,45163.434,28514.078,18611.42
32592.863,26914.824,17297.836,21696.84,25908.383,16019.733,44441.15,28336.736,18520.83
32817.273,26999.92,17334.787,22329.938,25977.91,16092.437,46679.99,28587.447,18749.676
32861.86,26811.225,17384.52,22082.336,25842.604,16128.643,42366.223,27915.03,18528.445
32124.262,26566.508,17247.81,20844.107,25548.146,15972.703,43042.227,27762.205,18344.574
32653.04,26273.1,17207.85,22336.541,25359.78,16028.498,42179.97,27463.98,18229.049
33185.15,25995.918,17109.582,19814.32,24684.709,15566.027,44391.97,27678.37,18406.201
32424.164,25677.115,16955.135,20120.695,24402.367,15459.357,45494.887,27184.26,18506.605
33284.64,25597.242,16908.38,21887.158,24567.98,15765.762,45723.414,27282.787,18202.6
31932.338,25020.637,16675.652,21522.254,23956.908,15435.593,43399.633,26430.434,17958.176
32194.117,24722.488,16655.803,21292.59,23614.291,15352.132,43903.543,26265.764,17931.562
33007.574,24629.088,16509.697,20834.412,23352.002,15169.739,44093.586,26038.44,17642.705
32293.256,24334.574,16312.732,21529.055,23286.309,14986.11,46522.934,26438.59,17980.453
32766.475,23940.387,16174.685,20604.826,22888.346,14787.821,44541.52,25415.125,17657.607
32625.59,23474.016,16011.747,19275.107,22180.04,14488.343,44041.266,24955.95,17278.44
32043.22,23071.18,16094.322,19603.838,21480.984,14568.097,43196.836,24786.377,17542.828
31770.248,22705.143,16008.723,19899.24,21370.225,14550.523,41951.11,24143.67,17489.723
32583.6,22455.818,15977.265,21357.865,20959.07,14536.464,43122.26,24255.248,17465.992
32442.74,21900.225,15887.012,18322.535,20283.646,14005.19,43753.535,24053.17,17759.564
32809.168,21782.027,15705.349,23116.785,20491.562,14201.855,45072.664,24238.152,17775.047
32446.59,21372.443,15422.549,20054.654,19739.623,13525.388,44057.37,23560.156,17446.326
32888.047,21131.37,15245.247,20730.08,19452.8,13318.864,44889.42,23688.543,17552.11
33063.855,20888.66,15002.809,20794.79,19051.17,12643.511,46587.176,23627.068,17925.895
32085.55,20422.574,14867.191,19679.89,18665.19,12617.778,45091.855,23133.48,17581.91
32721.408,20345.758,14968.184,20649.562,18628.072,13054.1875,44970.53,22962.104,17712.396
32158.994,20009.902,14649.505,20185.285,18360.09,12624.2295,42606.098,22197.744,17148.693
33326.63,19859.645,14777.676,22374.943,18228.475,12860.671,45661.504,22477.87,17736.572
33125.1,19459.77,14827.113,20089.227,17402.111,12272.346,45180.547,22185.645,17823.004
32909.1,19223.799,14926.423,19536.469,16877.104,12191.612,44108.47,21828.979,17783.11
32917.234,19078.248,14937.577,19144.117,16905.762,12119.835,45526.49,21915.623,18046.256
32314.455,18669.63,14572.329,19908.094,16688.111,12283.187,43628.348,21225.63,17638.91
32199.994,18569.951,14538.706,21612.26,16712.164,12352.907,42464.734,20855.688,17393.414
31731.56,18272.035,14180.941,20531.816,16286.105,11939.763,42484.62,20761.979,17117.092
33528.934,18484.883,14469.731,22184.906,16326.499,12020.051,45189.105,21207.115,17234.822
32672.562,18142.416,14229.434,21439.086,16229.19,11897.659,42746.848,20584.02,16827.773
31998.455,17926.422,13781.477,19906.352,15700.983,11205.6045,43687.914,20684.283,16689.246
32595.453,17897.61,13809.8125,20375.775,15613.877,11183.977,43647.57,20533.082,16642.062
32468.188,17800.729,13607.393,22181.352,15813.626,11371.56,43568.14,20417.088,16263.231
31954.342,17634.69,13475.432,20871.75,15379.162,11105.582,44495.453,20556.71,16417.08
32949.21,17844.352,13767.008,20738.775,15298.223,10939.126,44733.63,20651.184,16475.086
32734.775,17833.484,13712.434,21441.344,15476.156,11200.871,44293.855,20778.15,16390.396
32121.064,17747.766,13576.566,20524.092,15329.547,11029.063,44651.957,20865.428,16308.755
32129.67,17626.365,13391.394,20763.088,15403.862,10985.422,43666.65,20486.412,16207.34
32200.936,17578.758,13298.702,18764.346,15138.93,10466.323,45789.766,20940.97,16250.816
32431.627,17633.625,13350.566,20767.867,15351.517,10774.901,44309.3,20450.008,15978.233
32639.46,17813.012,13493.82,20577.201,15229.718,10700.678,43933.523,20543.223,15925.974
32783.125,17720.844,13353.35,21449.754,15345.178,10785.846,45128.434,20780.992,15974.201
32618.62,17661.947,13161.162,21185.074,15394.139,10702.303,44786.35,20613.518,15832.831
33281.055,17768.754,13203.14,22392.729,15381.259,10820.1875,44378.516,20513.547,15644.742
31521.922,17467.162,12520.731,18583.422,14841.541,9699.701,43171.5,20302.506,15251.419
32727.988,17730.104,12707.409,20427.938,15184.871,10107.581,44751.24,20353.402,15315.706
32022.533,17602.3,12585.37,20548.807,15446.727,10284.298,42796.367,20082.41,15130.796
33095.137,17872.521,12534.237,23063.672,15685.295,10427.405,43214.95,20405.346,14911.011
32354.293,17644.809,12206.923,21509.65,15509.411,10050.927,43490.777,20410.074,14775.325
33080.9,17807.885,12386.247,21384.033,15563.617,10123.861,45602.582,20750.682,15041.74
33111.246,18034.832,12543.046,21567.777,15855.406,10105.923,46791.414,21197.438,15038.049
33107.89,18516.043,12628.269,21810.959,16361.409,10458.233,44702.793,21295.705,15097.46
31383.867,18239.006,12084.153,19300.771,16238.426,9933.785,43639.633,20746.623,14785.066
32162.574,18482.14,11976.577,21845.516,16539.979,9819.493,42754.117,20990.826,14489.181
32841.465,18598.043,11773.04,22290.771,16603.557,9819.321,43702.47,21081.287,14301.195
32999.42,18756.041,11528.528,21757.03,16956.586,9374.679,44764.504,21403.998,14170.643
32315.287,18357.146,11156.638,20611.672,16383.78,8837.473,43232.37,20706.443,13816.179
32359.107,18132.47,10898.6875,19950.074,16029.223,8542.862,43311.49,20660.875,13361.667
33326.77,18140.186,10579.376,20822.676,16026.6875,8278.078,45348.188,20606.955,13238.207
32466.77,17704.363,9817.617,20417.926,15527.292,7112.2793,44120.58,20296.547,12445.767
32673.307,17310.793,9406.503,21139.05,15222.232,7273.1714,43905.234,20065.238,12298.601
32505.355,17188.75,9235.092,22594.283,15275.002,7245.887,42145.035,19361.43,11674.678
32783.434,17479.453,9251.034,20423.672,15050.891,6717.486,44092.85,20334.574,11997.324
32638.008,17682.137,9569.953,21344.11,15460.031,7368.879,43749.812,20449.377,12431.927
